descricao;endereco;Area;quartos;wc;vagas;valor;condominio;link
Apartamento com 3 Quartos à Venda, 105m²;Rua Dom Pedro I, 1071 - Água Verde, Curitiba - PR;105;3;2;1;R$ 580.000;"<strong class=""js-condo-price"">  R$ 437  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-agua-verde-bairros-curitiba-com-garagem-105m2-venda-RS580000-id-2559832290/
LIFESPACE ESTAÇÃO;Rua Barão do Rio Branco, 763 - Centro, Curitiba - PR;123-149;2;2;2;R$ 990.248;;https://www.vivareal.com.br/imoveis-lancamento/lifespace-estacao-2439179141/
Apartamento com  Quarto à Venda, 33m²;Rua Augusto de Mari, 3994 - Portão, Curitiba - PR;33;1;1;--;R$ 249.900;"<strong class=""js-condo-price"">  R$ 350  </strong>";https://www.vivareal.com.br/imovel/apartamento-1-quartos-portao-bairros-curitiba-33m2-venda-RS249900-id-2574004274/
Apartamento com 3 Quartos à Venda, 89m²;Rua Monsenhor Ivo Zanlorenzi - Ecoville, Curitiba - PR;89;3;2;1;R$ 660.000;"<strong class=""js-condo-price"">  R$ 500  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-ecoville-bairros-curitiba-com-garagem-89m2-venda-RS660000-id-2588199173/
Apartamento com 3 Quartos à Venda, 88m²;Avenida Paraná, 1758 - Bacacheri, Curitiba - PR;88;3;2;1;R$ 495.000;"<strong class=""js-condo-price"">  R$ 800  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-bacacheri-bairros-curitiba-com-garagem-88m2-venda-RS495000-id-2571816969/
Apartamento com 2 Quartos à Venda, 48m²;Rua Francisco Derosso, 5950 - Alto Boqueirão, Curitiba - PR;48;2;1;1;R$ 215.000;"<strong class=""js-condo-price"">  R$ 350  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-alto-boqueirao-bairros-curitiba-com-garagem-48m2-venda-RS215000-id-2549195597/
Apartamento com 3 Quartos à Venda, 78m²;Rua José Clementino Bettega, 120 - Capão Raso, Curitiba - PR;78;3;2;2;R$ 649.900;"<strong class=""js-condo-price"">  R$ 700  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-capao-raso-bairros-curitiba-com-garagem-78m2-venda-RS649900-id-2573328728/
Apartamento com 2 Quartos à Venda, 70m²;Rua Percy Feliciano de Castilho, 600 - Bairro Alto, Curitiba - PR;70;2;2;1;R$ 389.000;"<strong class=""js-condo-price"">  R$ 350  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-bairro-alto-bairros-curitiba-com-garagem-70m2-venda-RS389000-id-2584241861/
Take Urban Habitat;Avenida Iguaçu, 333 - Rebouças, Curitiba - PR;25-62;1-2;1-2;--;R$ 445.900;;https://www.vivareal.com.br/imoveis-lancamento/take-urban-habitat-2515377883/
Apartamento com 3 Quartos à Venda, 100m²;Avenida Presidente Affonso Camargo, 955 - Cristo Rei, Curitiba - PR;100;3;3;2;R$ 390.000      Preço abaixo do mercado;"<strong class=""js-condo-price"">  R$ 770  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-cristo-rei-bairros-curitiba-com-garagem-100m2-venda-RS390000-id-2537867877/
Apartamento com 3 Quartos à Venda, 77m²;Rua Nossa Senhora de Nazaré, 615 - Boa Vista, Curitiba - PR;77;3;2;1;R$ 595.000;"<strong class=""js-condo-price"">  R$ 400  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-vista-bairros-curitiba-com-garagem-77m2-venda-RS595000-id-2557155962/
Apartamento com 2 Quartos à Venda, 73m²;Rua Humberto Morona, 27 - Cristo Rei, Curitiba - PR;73;2;2;1;R$ 690.000;"<strong class=""js-condo-price"">  R$ 700  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-cristo-rei-bairros-curitiba-com-garagem-73m2-venda-RS690000-id-2587203278/
Apartamento com 2 Quartos à Venda, 60m²;Rua Professor Dario Veloso, 186 - Vila Izabel, Curitiba - PR;60;2;1;1;R$ 318.000      Preço abaixo do mercado;"<strong class=""js-condo-price"">  R$ 220  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-izabel-bairros-curitiba-com-garagem-60m2-venda-RS318000-id-2510610643/
Apartamento com 3 Quartos à Venda, 67m²;Rua Mário Chalbaud Biscaia, 782 - Novo Mundo, Curitiba - PR;67;3;2;1;R$ 352.000;"<strong class=""js-condo-price"">  R$ 260  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-novo-mundo-bairros-curitiba-com-garagem-67m2-venda-RS352000-id-2522878143/
Apartamento com 3 Quartos à Venda, 86m²;Alameda Doutor Muricy, 209 - Centro, Curitiba - PR;86;3;2;--;R$ 250.000;"<strong class=""js-condo-price"">  R$ 500  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-86m2-venda-RS250000-id-2582761522/
LA TOUR RESIDENCE;Rua Desembargador Ermelino de Leão, 181 - Centro, Curitiba - PR;35-38;1;1;--;R$ 259.000;;https://www.vivareal.com.br/imoveis-lancamento/la-tour-residence-2570140920/
Apartamento com 2 Quartos à Venda, 82m²;Rua Leão Sallum, 526 - Boa Vista, Curitiba - PR;82;2;2;2;R$ 999.999;"<strong class=""js-condo-price"">  R$ 500  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-boa-vista-bairros-curitiba-com-garagem-82m2-venda-RS999999-id-2517262807/
Apartamento com  Quarto à Venda, 77m²;Rua Doutor Pedrosa, 401 - Batel, Curitiba - PR;77;1;1;1;R$ 330.000      Preço abaixo do mercado;"<strong class=""js-condo-price"">  R$ 600  </strong>";https://www.vivareal.com.br/imovel/apartamento-1-quartos-batel-bairros-curitiba-com-garagem-77m2-venda-RS330000-id-2577592346/
Apartamento com 3 Quartos à Venda, 119m²;Rua Antônio Rodrigues, 120 - Seminário, Curitiba - PR;119;3;3;2;R$ 879.000;"<strong class=""js-condo-price"">  R$ 750  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-seminario-bairros-curitiba-com-garagem-119m2-venda-RS879000-id-2555084739/
Apartamento com 2 Quartos à Venda, 48m²;Rua Tijucas do Sul, 2057 - Sitio Cercado Bairro Novo B, Curitiba - PR;48;2;1;1;R$ 180.000;"<strong class=""js-condo-price"">  R$ 296  </strong>";https://www.vivareal.com.br/imovel/apartamento-2-quartos-sitio-cercado-bairro-novo-b-bairros-curitiba-com-garagem-48m2-venda-RS180000-id-2507825183/
Apartamento com 4 Quartos à Venda, 220m²;Avenida Iguaçu, 2663 - Batel, Curitiba - PR;220;4;5;3;R$ 3.899.000;"<strong class=""js-condo-price"">  R$ 2.800  </strong>";https://www.vivareal.com.br/imovel/apartamento-4-quartos-batel-bairros-curitiba-com-garagem-220m2-venda-RS3899000-id-2563495299/
Apartamento com 3 Quartos à Venda, 213m²;Centro, Curitiba - PR;213;3;2;1;R$ 1.195.000;"<strong class=""js-condo-price"">  R$ 1.400  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-com-garagem-213m2-venda-RS1195000-id-2574904676/
Apartamento com 3 Quartos à Venda, 107m²;Rua Marechal Deodoro, 228 - Centro, Curitiba - PR;107;3;2;--;R$ 300.000;"<strong class=""js-condo-price"">  R$ 700  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-curitiba-107m2-venda-RS300000-id-2549436471/
Apartamento com 3 Quartos à Venda, 126m²;Rua Professora Doracy Cezzarino, 138 - Portão, Curitiba - PR;126;3;5;2;R$ 1.350.000;"<strong class=""js-condo-price"">  R$ 800  </strong>";https://www.vivareal.com.br/imovel/apartamento-3-quartos-portao-bairros-curitiba-com-garagem-126m2-venda-RS1350000-id-2574760858/
Apartamento com 3 Quartos à Venda, 132m²;Rua Fausto Nascimento Bittencourt, 162 - Ahú, Curitiba - PR;132;3;5;3;R$ 1.620.000;;https://www.vivareal.com.br/imovel/apartamento-3-quartos-ahu-bairros-curitiba-com-garagem-132m2-venda-RS1620000-id-2501098374/
